date,zone,VV,VH,cross_pol_ratio_db
2025-01-10,detachment,4.2951255146771645,-2.4979707781270517,-6.793096292804217
2025-01-22,detachment,4.363278844993937,-2.5308136944716186,-6.8940925394655554
2025-02-03,detachment,4.077006536744588,-2.7801291862686575,-6.857135723013245
2025-02-15,detachment,4.26673590246236,-2.9690831649034117,-7.235819067365771
2025-02-27,detachment,3.5430509961283283,-5.886333957013971,-9.4293849531423
2025-03-11,detachment,2.983405674674062,-6.976412062503807,-9.959817737177868
2025-03-23,detachment,2.7708831293504943,-6.656481569130456,-9.42736469848095
2025-04-04,detachment,1.919089601960332,-7.24950966700508,-9.168599268965412
2025-04-16,detachment,2.501087710854515,-8.975735432305303,-11.476823143159818
2025-04-28,detachment,2.624736669234241,-7.468379478077133,-10.093116147311374
2025-05-10,detachment,3.0190472947011027,-10.931853808923442,-13.950901103624545
2025-06-03,detachment,1.0591541080795852,-11.028981140359628,-12.088135248439213
2025-06-15,detachment,2.7400053242211926,-9.950542267165874,-12.690547591387066
2025-06-27,detachment,3.308201758076004,-8.796861309916787,-12.105063067992791
2025-07-09,detachment,3.1382669164849,-8.323392787208896,-11.461659703693796
2025-07-21,detachment,3.605731833967108,-7.734334647591844,-11.340066481558951
2025-08-02,detachment,3.7349381364512073,-7.310929042939774,-11.045867179390982
2025-08-14,detachment,3.215284551770973,-7.837537197279036,-11.05282174905001
2025-08-26,detachment,2.8235083164117745,-8.05472693456247,-10.878235250974246
2025-09-07,detachment,3.0298775023183078,-7.9462738116228495,-10.976151313941157
2025-09-19,detachment,3.5821805772676147,-7.298600826443255,-10.88078140371087
2025-10-01,detachment,4.896186337879165,-6.422627425940761,-11.318813763819925
2025-10-13,detachment,0.44611585226412515,-9.909434573168845,-10.35555042543297
2025-10-25,detachment,2.6530759245362656,-6.036887391327599,-8.689963315863864
2025-11-06,detachment,3.3900002431524365,-5.113283755088513,-8.50328399824095
2025-11-18,detachment,3.8415657850011065,-3.4010212601381316,-7.2425870451392385
2025-11-30,detachment,4.38124133561626,-2.782656751897667,-7.163898087513927
2025-12-12,detachment,4.4129693792703275,-2.0632222003543434,-6.476191579624671
2025-12-24,detachment,4.303300987354655,-2.0621218289453496,-6.365422816300004
2026-01-05,detachment,4.473143839117601,-1.8860610784412013,-6.359204917558802
2026-01-17,detachment,4.422225991801298,-2.050623624241197,-6.472849616042495
2026-01-29,detachment,4.546741826187377,-2.119678865464576,-6.666420691651953
2026-02-10,detachment,4.763228731378212,-2.2254097922066425,-6.9886385235848545
2026-02-22,detachment,3.9995153330627944,-3.2035711529122555,-7.203086485975049
2026-03-06,detachment,2.200265402515273,-7.70107629970427,-9.901341702219543
2026-03-18,detachment,3.4128069187251207,-5.849491531767054,-9.262298450492175
2026-03-30,detachment,0.3068905007176517,-11.659052582935558,-11.96594308365321
2026-04-11,detachment,2.678731902583762,-9.627470890444515,-12.306202793028277
2026-04-23,detachment,0.9853401912714009,-13.00400138320936,-13.989341574480761
2026-05-05,detachment,1.1917266544846112,-12.276418154563808,-13.46814480904842
2026-05-17,detachment,3.281091395598612,-12.544687172783007,-15.825778568381619
2026-05-29,detachment,1.444886396781044,-12.043419094828318,-13.488305491609362
2026-06-10,detachment,3.6929080060607484,-11.254413151541042,-14.947321157601792
2026-06-22,detachment,2.893597468825135,-11.013957288055883,-13.907554756881018
2026-06-29,detachment,2.6564609197675537,-10.295766477285717,-12.95222739705327
2026-07-11,detachment,3.4653458495178726,-8.100275746999063,-11.565621596516936
2026-07-23,detachment,2.9227416780331916,-8.123321133628206,-11.046062811661397
2026-08-04,detachment,2.9478928049631823,-7.866358121516415,-10.814250926479597
2026-08-16,detachment,3.257068857819027,-7.887646839726679,-11.144715697545706
2026-08-28,detachment,-1.0834264382902437,-11.406028521105268,-10.322602082815024
2025-01-10,gangchempo,-13.39233367984831,-17.79311050127401,-4.400776821425701
2025-01-22,gangchempo,-13.353926419533405,-17.746952141655623,-4.393025722122218
2025-02-03,gangchempo,-13.198071107231458,-17.62123783649888,-4.4231667292674235
2025-02-15,gangchempo,-13.448881897722819,-17.694505688518028,-4.245623790795209
2025-02-27,gangchempo,-13.908252936543844,-18.37337379603586,-4.465120859492016
2025-03-11,gangchempo,-14.285269104927323,-19.301693278779222,-5.016424173851899
2025-03-23,gangchempo,-13.805282530941088,-18.109121362178534,-4.303838831237446
2025-04-04,gangchempo,-13.464955291362358,-18.066961177627118,-4.6020058862647595
2025-04-16,gangchempo,-14.685012614351072,-19.916750192564322,-5.2317375782132505
2025-04-28,gangchempo,-13.826440861283292,-18.855742818360227,-5.029301957076935
2025-05-10,gangchempo,-15.128802056117044,-20.981899670258205,-5.853097614141161
2025-06-03,gangchempo,-14.63420292614756,-20.79633198876186,-6.1621290626143
2025-06-15,gangchempo,-17.944063401323714,-26.844409937402354,-8.90034653607864
2025-06-27,gangchempo,-17.672851848148213,-25.909978070114278,-8.237126221966065
2025-07-09,gangchempo,-16.87647121576535,-25.837149055372503,-8.960677839607154
2025-07-21,gangchempo,-16.719193155667924,-25.663428578416227,-8.944235422748303
2025-08-02,gangchempo,-15.874071784267397,-24.73710022324965,-8.863028438982255
2025-08-14,gangchempo,-16.39758162745972,-25.801141974643922,-9.403560347184204
2025-08-26,gangchempo,-16.387037734289652,-25.230122221123388,-8.843084486833735
2025-09-07,gangchempo,-16.97452374583436,-25.176014166284602,-8.201490420450241
2025-09-19,gangchempo,-17.089859902452385,-25.286612428851313,-8.196752526398928
2025-10-01,gangchempo,-15.949852632640198,-23.994117506958194,-8.044264874317996
2025-10-13,gangchempo,-15.558492868725356,-22.9226276311662,-7.364134762440845
2025-10-25,gangchempo,-13.940676098463918,-19.63504380997354,-5.694367711509621
2025-11-06,gangchempo,-14.40911111528919,-19.282825926251437,-4.873714810962246
2025-11-18,gangchempo,-13.977789168440262,-19.05508503445609,-5.077295866015829
2025-11-30,gangchempo,-13.832997520021403,-18.19295890962834,-4.359961389606939
2025-12-12,gangchempo,-13.542360470843693,-17.74570806894967,-4.203347598105978
2025-12-24,gangchempo,-13.264768633077054,-17.492569886674975,-4.227801253597921
2026-01-05,gangchempo,-13.098515080800691,-17.3758070485536,-4.277291967752909
2026-01-17,gangchempo,-13.331218481204306,-17.40910783973509,-4.077889358530783
2026-01-29,gangchempo,-13.383699689729376,-17.44574620329716,-4.062046513567783
2026-02-10,gangchempo,-13.131636091185865,-17.02109344869943,-3.889457357513564
2026-02-22,gangchempo,-13.465641914533844,-17.488224606952766,-4.022582692418922
2026-03-06,gangchempo,-14.92903986294216,-20.469185033956343,-5.540145171014183
2026-03-18,gangchempo,-14.21972575467863,-18.85342891438233,-4.6337031597037015
2026-03-30,gangchempo,-14.995950859307069,-21.158661943954353,-6.162711084647285
